Name,Status,Priority,Epic,Assignee,FR Reference,Notes,Source
"Test: Error notification delivery","Not Started","High","[EPIC] Test Plan & Validation","","FR37-38","Slack alerts","PRD"
"Test: Daily digest accuracy","Not Started","Medium","[EPIC] Test Plan & Validation","","FR39","Stats correct","PRD"
"Test: Webhook processing <30s","Not Started","High","[EPIC] Test Plan & Validation","","NFR1","Performance","PRD"
"Test: Request creation <5min","Not Started","High","[EPIC] Test Plan & Validation","","NFR2","Performance","PRD"
"Test: 99% event capture rate","Not Started","High","[EPIC] Test Plan & Validation","","NFR5","Reliability","PRD"
"Test: No duplicate entries","Not Started","High","[EPIC] Test Plan & Validation","","NFR8","Reliability","PRD"
"Test: OAuth tokens encrypted","Not Started","Medium","[EPIC] Test Plan & Validation","","NFR10","Security","PRD"
"Test: API rate limits respected","Not Started","Medium","[EPIC] Test Plan & Validation","","NFR16","Integration","PRD"
"Test: AI extraction ≥90% accuracy","Not Started","High","[EPIC] Test Plan & Validation","","NFR19","Accuracy","PRD"
"Test: Client matching ≥99% accuracy","Not Started","High","[EPIC] Test Plan & Validation","","NFR21","Accuracy","PRD"
"Test: Slack alerts <2min","Not Started","Medium","[EPIC] Test Plan & Validation","","NFR24","Operational","PRD"
"UAT: Kelsey trusts Jobber as source","Not Started","High","[EPIC] Test Plan & Validation","","","30-day test","PRD"
"UAT: Alyssa processes without calling","Not Started","High","[EPIC] Test Plan & Validation","","","Behavior change","PRD"
"UAT: Handoffs reduced to 1-2/day","Not Started","High","[EPIC] Test Plan & Validation","","","From 4-6/day","PRD"
